hectad,country,east,north,longitude,latitude
NS50,EN,250000,600000,-4.36256603205589,55.2712494418111
NS60,EN,260000,600000,-4.20529959541682,55.2741928754645
NS61,EN,260000,610000,-4.21029206925811,55.3639829173717
NS70,EN,270000,600000,-4.04800528659996,55.2769338254598
NS71,EN,270000,610000,-4.05264234383673,55.3667330093694
NS72,EN,270000,620000,-4.05730549240843,55.4565306042567
NS80,EN,280000,600000,-3.89068508561126,55.2794722166733
NS81,EN,280000,610000,-3.89496652743515,55.3692798681038
NS90,EN,290000,600000,-3.73334097450606,55.2818079795116
NT00,EN,300000,600000,-3.57597493723321,55.2839410499195
NT01,EN,300000,610000,-3.57954461253808,55.3737636110186
NT02,EN,300000,620000,-3.58313438180671,55.463584688919
NT03,EN,300000,630000,-3.58674439984987,55.5534042840383
NT04,EN,300000,640000,-3.59037482310035,55.6432223967942
NT05,EN,300000,650000,-3.59402580963412,55.7330390276048
NT10,EN,310000,600000,-3.41858895947872,55.2858713693855
NT11,EN,310000,610000,-3.4218025141028,55.3757003717651
NT12,EN,310000,620000,-3.42503416015323,55.4655279201191
NT13,EN,310000,630000,-3.42828403703695,55.5553540150967
NT14,EN,310000,640000,-3.43155228562184,55.6451786573498
NT15,EN,310000,650000,-3.43483904825577,55.7350018475328
NT20,EN,320000,600000,-3.26118502850913,55.2875988849475
NT21,EN,320000,610000,-3.26404232449069,55.3774336523924
NT22,EN,320000,620000,-3.2669157079191,55.4672669919275
NT23,EN,320000,630000,-3.26980530277868,55.5570989044095
NT24,EN,320000,640000,-3.2727112343533,55.6469293906998
NT25,EN,320000,650000,-3.27563362924338,55.7367584516648
NT30,EN,330000,600000,-3.10376513301453,55.2891235491978
NT31,EN,330000,610000,-3.10626604765482,55.3789634051572
NT32,EN,330000,620000,-3.10878104447966,55.4688018562621
NT33,EN,330000,630000,-3.11131023203403,55.5586389035524
NT34,EN,330000,640000,-3.11385372000084,55.6484745480746
NT35,EN,330000,650000,-3.11641161921577,55.738308790882
NT40,EN,340000,600000,-2.94633126295132,55.2904453202883
NT41,EN,340000,610000,-2.94847568883101,55.380289587915
NT42,EN,340000,620000,-2.95063219050972,55.4701324706792
NT43,EN,340000,630000,-2.95280086107845,55.5599739697795
NT44,EN,340000,640000,-2.95498179460425,55.649814086423
NT45,EN,340000,650000,-2.957175086143,55.7396528218251
NT50,EN,350000,600000,-2.78888540938466,55.2915641619335
NT51,EN,350000,610000,-2.79067325437829,55.3814121641237
NT52,EN,350000,620000,-2.79247116782194,55.4712587983772
NT53,EN,350000,630000,-2.79427922734007,55.5611040660272
NT54,EN,350000,640000,-2.79609751137115,55.6509479684168
NT55,EN,350000,650000,-2.79792609917826,55.7407905068986
NT56,EN,350000,660000,-2.79976507085993,55.830631682835
NT60,EN,360000,600000,-2.63142956433081,55.292480043415
NT61,EN,360000,610000,-2.63286075161911,55.3823311028471
NT62,EN,360000,620000,-2.63429999920495,55.4721808082003
NT63,EN,360000,630000,-2.63574736923578,55.5620291609179
NT64,EN,360000,640000,-2.63720292451083,55.6518761624543
NT65,EN,360000,650000,-2.6386667284896,55.7417218142746
NT66,EN,360000,660000,-2.64013884530052,55.8315661178547
NT70,EN,370000,600000,-2.47396572059914,55.293192939584
