east,north,ID,idx_east,idx_north
50000,42000,23022,23,22
50000,41000,23021,23,21
50000,40000,23020,23,20
49000,41000,22021,22,21
49000,40000,22020,22,20
48000,40000,21020,21,20
48000,39000,21019,21,19
47000,39000,20019,20,19
46000,39000,19019,19,19
45000,38000,18018,18,18
44000,38000,17018,17,18
44000,39000,17019,17,19
45000,39000,18019,18,19
45000,40000,18020,18,20
46000,40000,19020,19,20
47000,41000,20021,20,21
48000,41000,21021,21,21
49000,42000,22022,22,22
97000,50000,70030,70,30
97000,49000,70029,70,29
96000,49000,69029,69,29
96000,48000,69028,69,28
95000,48000,68028,68,28
94000,48000,67028,67,28
93000,48000,66028,66,28
94000,49000,67029,67,29
95000,49000,68029,68,29
95000,50000,68030,68,30
96000,50000,69030,69,30
97000,51000,70031,70,31
265000,111000,238091,238,91
265000,110000,238090,238,90
264000,110000,237090,237,90
263000,110000,236090,236,90
263000,111000,236091,236,91
264000,111000,237091,237,91
240000,459000,213439,213,439
241000,459000,214439,214,439
241000,458000,214438,214,438
242000,458000,215438,215,438
243000,458000,216438,216,438
243000,457000,216437,216,437
244000,458000,217438,217,438
244000,457000,217437,217,437
245000,458000,218438,218,438
245000,457000,218437,218,437
246000,457000,219437,219,437
247000,457000,220437,220,437
248000,457000,221437,221,437
248000,456000,221436,221,436
249000,456000,222436,222,436
250000,456000,223436,223,436
251000,455000,224435,224,435
252000,455000,225435,225,435
252000,454000,225434,225,434
252000,453000,225433,225,433
252000,452000,225432,225,432
253000,452000,226432,226,432
253000,451000,226431,226,431
253000,450000,226430,226,430
253000,449000,226429,226,429
254000,450000,227430,227,430
254000,449000,227429,227,429
255000,449000,228429,228,429
255000,450000,228430,228,430
256000,449000,229429,229,429
257000,449000,230429,230,429
257000,448000,230428,230,428
258000,448000,231428,231,428
258000,447000,231427,231,427
259000,447000,232427,232,427
260000,447000,233427,233,427
260000,448000,233428,233,428
261000,448000,234428,234,428
261000,447000,234427,234,427
262000,447000,235427,235,427
263000,447000,236427,236,427
263000,446000,236426,236,426
262000,446000,235426,235,426
263000,445000,236425,236,425
264000,445000,237425,237,425
264000,446000,237426,237,426
265000,446000,238426,238,426
265000,445000,238425,238,425
266000,445000,239425,239,425
267000,445000,240425,240,425
267000,444000,240424,240,424
268000,444000,241424,241,424
268000,443000,241423,241,423
268000,442000,241422,241,422
267000,442000,240422,240,422
267000,441000,240421,240,421
266000,441000,239421,239,421
266000,440000,239420,239,420
265000,440000,238420,238,420
264000,440000,237420,237,420
264000,439000,237419,237,419
263000,439000,236419,236,419
262000,439000,235419,235,419
262000,438000,235418,235,418
261000,438000,234418,234,418
260000,438000,233418,233,418
260000,437000,233417,233,417
259000,437000,232417,232,417
259000,436000,232416,232,416
258000,436000,231416,231,416
257000,436000,230416,230,416
257000,435000,230415,230,415
256000,435000,229415,229,415
256000,434000,229414,229,414
255000,435000,228415,228,415
255000,434000,228414,228,414
254000,434000,227414,227,414
254000,433000,227413,227,413
253000,433000,226413,226,413
252000,432000,225412,225,412
252000,431000,225411,225,411
251000,431000,224411,224,411
251000,430000,224410,224,410
250000,430000,223410,223,410
250000,429000,223409,223,409
250000,428000,223408,223,408
249000,427000,222407,222,407
249000,426000,222406,222,406
248000,426000,221406,221,406
248000,425000,221405,221,405
247000,425000,220405,220,405
247000,424000,220404,220,404
248000,424000,221404,221,404
247000,422000,220402,220,402
247000,421000,220401,220,401
246000,421000,219401,219,401
246000,420000,219400,219,400
245000,420000,218400,218,400
245000,419000,218399,218,399
244000,419000,217399,217,399
244000,418000,217398,217,398
243000,418000,216398,216,398
243000,417000,216397,216,397
243000,416000,216396,216,396
