hectad,longitude,latitude,County,Id
B60,-8.623410033,54.84617485,Donegal,8
B61,-8.624797822,54.93599623,Donegal,8
B70,-8.467751898,54.84687371,Donegal,8
B71,-8.468793002,54.93669741,Donegal,8
B72,-8.469839911,55.02651975,Donegal,8
B73,-8.470892667,55.11634074,Donegal,8
B80,-8.312088002,54.84737305,Donegal,8
B81,-8.312782378,54.9371984,Donegal,8
B82,-8.313480626,55.02702241,Donegal,8
B83,-8.314182774,55.11684508,Donegal,8
B84,-8.314888853,55.20666641,Donegal,8
B90,-8.156420265,54.84767286,Donegal,8
B91,-8.156767883,54.9374992,Donegal,8
B92,-8.15711744,55.02732421,Donegal,8
B93,-8.15746895,55.11714788,Donegal,8
B94,-8.15782243,55.20697022,Donegal,8
C00,-8.000750603,54.84777312,Donegal,8
C01,-8.000751448,54.9375998,Donegal,8
C02,-8.0007523,55.02742514,Donegal,8
C03,-8.000753158,55.11724915,Donegal,8
C04,-8.000754023,55.20707182,Donegal,8
C10,-7.845080935,54.84767383,Donegal,8
C11,-7.844735008,54.93750018,Donegal,8
C12,-7.844387154,55.02732519,Donegal,8
C13,-7.84403736,55.11714887,Donegal,8
C14,-7.843685609,55.20697121,Donegal,8
C20,-7.689413178,54.847375,Donegal,8
C21,-7.688720494,54.93720036,Donegal,8
C22,-7.68802395,55.02702438,Donegal,8
C23,-7.687323517,55.11684705,Donegal,8
C24,-7.686619167,55.20666839,Donegal,8
C30,-7.533749253,54.84687663,Donegal,8
C31,-7.532709839,54.93670034,Donegal,8
C32,-7.531664634,55.0265227,Donegal,8
C33,-7.530613593,55.11634371,Donegal,8
C34,-7.529556672,55.20616337,Donegal,8
C35,-7.528493826,55.29598169,Donegal,8
C40,-7.378091075,54.84617874,Tyrone,28
C41,-7.376704976,54.93600013,Derry,7
C42,-7.375311153,55.02582017,Derry,7
C43,-7.373909549,55.11563884,Donegal,8
C44,-7.372500103,55.20545616,Donegal,8
C45,-7.371082755,55.29527212,Donegal,8
C50,-7.222440562,54.84528135,Tyrone,28
C51,-7.220707836,54.93509976,Derry,7
C52,-7.218965455,55.02491681,Donegal,8
C53,-7.217213346,55.11473248,Donegal,8
C54,-7.215451435,55.20454678,Donegal,8
C55,-7.213679646,55.29435971,Donegal,8
C60,-7.066799631,54.84418448,Derry,7
C61,-7.06472035,54.93399925,Derry,7
C62,-7.062629484,55.02381264,Derry,7
C63,-7.060526945,55.11362464,Donegal,8
C64,-7.058412644,55.20343526,Donegal,8
C70,-6.911170198,54.84288815,Derry,7
C71,-6.90874445,54.93269863,Derry,7
C72,-6.906305187,55.0225077,Derry,7
C73,-6.903852306,55.11231536,Derry,7
C80,-6.755554178,54.84139242,Derry,7
C81,-6.752782064,54.93119793,Derry,7
C82,-6.749994507,55.02100202,Derry,7
C83,-6.747191389,55.11080468,Derry,7
C84,-6.744372592,55.20060591,Antrim,1
C90,-6.599953485,54.8396973,Derry,7
C91,-6.596835122,54.9294972,Derry,7
C92,-6.593699388,55.01929564,Derry,7
C93,-6.590546151,55.10909262,Derry,7
C94,-6.587375278,55.19888816,Antrim,1
D00,-6.444370032,54.83780286,Antrim,1
D01,-6.44090555,54.92759647,Antrim,1
D02,-6.437421771,55.0173886,Antrim,1
D03,-6.433918548,55.10717925,Antrim,1
D04,-6.430395734,55.19696842,Antrim,1
D05,-6.426853179,55.2867561,Antrim,1
D10,-6.288805731,54.83570914,Antrim,1
D11,-6.284995275,54.92549581,Antrim,1
D12,-6.281163597,55.01528097,Antrim,1
D13,-6.277310537,55.10506461,Antrim,1
D14,-6.273435932,55.19484674,Antrim,1
D15,-6.269539617,55.28462736,Antrim,1
D20,-6.133262491,54.8334162,Antrim,1
D21,-6.12910622,54.92319527,Antrim,1
D22,-6.124926806,55.01297279,Antrim,1
D23,-6.120724071,55.10274876,Antrim,1
D24,-6.116497839,55.19252319,Antrim,1
D30,-5.977742221,54.8309241,Antrim,1
D31,-5.97324031,54.9206949,Antrim,1
D32,-5.968713334,55.01046413,Antrim,1
D40,-5.822246827,54.8282329,Antrim,1
F50,-10.28432223,53.92771431,Mayo,21
F51,-10.28923898,54.01748316,Mayo,21
F52,-10.29418256,54.10725036,Mayo,21
F60,-10.13220393,53.93051193,Mayo,21
F61,-10.13679383,54.02028996,Mayo,21
F62,-10.14140879,54.11006636,Mayo,21
F63,-10.14604899,54.19984115,Mayo,21
F64,-10.15071463,54.28961432,Mayo,21
F70,-9.980060744,53.93311696,Mayo,21
F71,-9.984323619,54.02290353,Mayo,21
F72,-9.988609771,54.11268852,Mayo,21
F73,-9.992919371,54.20247192,Mayo,21
F74,-9.997252594,54.29225375,Mayo,21
F80,-9.827894455,53.93552932,Mayo,21
F81,-9.831830134,54.02532381,Mayo,21
F82,-9.835787305,54.11511675,Mayo,21
F83,-9.839766129,54.20490814,Mayo,21
F84,-9.843766765,54.29469798,Mayo,21
F90,-9.675706832,53.93774897,Mayo,21
F91,-9.679315156,54.02755074,Mayo,21
F92,-9.682943189,54.11735099,Mayo,21
F93,-9.686591075,54.20714972,Mayo,21
F94,-9.690258962,54.29694694,Mayo,21
G00,-9.523499644,53.93977584,Mayo,21
G01,-9.526780471,54.02958425,Mayo,21
G02,-9.530079218,54.11939119,Mayo,21
G03,-9.53339602,54.20919663,Mayo,21
G04,-9.536731009,54.29900059,Mayo,21
G10,-9.371274667,53.94160987,Mayo,21
G11,-9.374227864,54.03142431,Mayo,21
G12,-9.377197194,54.12123728,Mayo,21
G13,-9.380182777,54.2110488,Mayo,21
G14,-9.383184734,54.30085885,Mayo,21
G20,-9.219033675,53.94325102,Mayo,21
G21,-9.221659123,54.03307085,Mayo,21
G22,-9.224298917,54.12288923,Mayo,21
G23,-9.226953161,54.21270618,Mayo,21
G30,-9.066778443,53.94469926,Mayo,21
G31,-9.069076039,54.03452383,Mayo,21
