hectad,county,id
B60,Donegal,8
B61,Donegal,8
B70,Donegal,8
B71,Donegal,8
B72,Donegal,8
B73,Donegal,8
B80,Donegal,8
B81,Donegal,8
B82,Donegal,8
B83,Donegal,8
B84,Donegal,8
B90,Donegal,8
B91,Donegal,8
B92,Donegal,8
B93,Donegal,8
B94,Donegal,8
C00,Donegal,8
C01,Donegal,8
C02,Donegal,8
C03,Donegal,8
C04,Donegal,8
C10,Donegal,8
C11,Donegal,8
C12,Donegal,8
C13,Donegal,8
C14,Donegal,8
C20,Donegal,8
C21,Donegal,8
C22,Donegal,8
C23,Donegal,8
C24,Donegal,8
C30,Donegal,8
C31,Donegal,8
C32,Donegal,8
C33,Donegal,8
C34,Donegal,8
C35,Donegal,8
C40,Tyrone,28
C41,Derry,7
C42,Derry,7
C43,Donegal,8
C44,Donegal,8
C45,Donegal,8
C50,Tyrone,28
C51,Derry,7
C52,Donegal,8
C53,Donegal,8
C54,Donegal,8
C55,Donegal,8
C60,Derry,7
C61,Derry,7
C62,Derry,7
C63,Donegal,8
C64,Donegal,8
C70,Derry,7
C71,Derry,7
C72,Derry,7
C73,Derry,7
C80,Derry,7
C81,Derry,7
C82,Derry,7
C83,Derry,7
C84,Antrim,1
C90,Derry,7
C91,Derry,7
C92,Derry,7
C93,Derry,7
C94,Antrim,1
D00,Antrim,1
D01,Antrim,1
D02,Antrim,1
D03,Antrim,1
D04,Antrim,1
D05,Antrim,1
D10,Antrim,1
D11,Antrim,1
D12,Antrim,1
D13,Antrim,1
D14,Antrim,1
D15,Antrim,1
D20,Antrim,1
D21,Antrim,1
D22,Antrim,1
D23,Antrim,1
D24,Antrim,1
D30,Antrim,1
D31,Antrim,1
D32,Antrim,1
D40,Antrim,1
F50,Mayo,21
F51,Mayo,21
F52,Mayo,21
F60,Mayo,21
F61,Mayo,21
F62,Mayo,21
F63,Mayo,21
F64,Mayo,21
F70,Mayo,21
F71,Mayo,21
F72,Mayo,21
F73,Mayo,21
F74,Mayo,21
F80,Mayo,21
F81,Mayo,21
F82,Mayo,21
F83,Mayo,21
F84,Mayo,21
F90,Mayo,21
F91,Mayo,21
F92,Mayo,21
F93,Mayo,21
F94,Mayo,21
G00,Mayo,21
G01,Mayo,21
G02,Mayo,21
G03,Mayo,21
G04,Mayo,21
G10,Mayo,21
G11,Mayo,21
G12,Mayo,21
G13,Mayo,21
G14,Mayo,21
G20,Mayo,21
G21,Mayo,21
G22,Mayo,21
G23,Mayo,21
G30,Mayo,21
G31,Mayo,21
G32,Mayo,21
G33,Sligo,26
G40,Mayo,21
G41,Sligo,26
G42,Sligo,26
G43,Sligo,26
G48,Donegal,8
G50,Mayo,21
G51,Sligo,26
G52,Sligo,26
G53,Sligo,26
