species,baseline_temperature,threshold,diapause,diapause_daylength,diapause_temperature,Reference1,Reference2,Reference3,event,commonName
Agrilus anxius,10,277,quiescence,NA,NA,https://doi.org/10.1603/EN12238,,,First flight,Bronze birch borer
Spodoptera frugiperda,13.01,391.02,quiescence,NA,NA,https://doi.org/10.3390/insects11040228,,,,Fall armyworm
Ips sexdentatus,11,517,quiescence,NA,NA,https://hal.univ-lorraine.fr/hal-01836196v1,,,,Six-toothed bark beetle
Ips duplicatus,11.1,217.3,quiescence,NA,NA,https://doi.org/10.1111/afe.12345,,,,Double-spined bark beetle
Ips cembrae,11.3,243.3,quiescence,NA,NA,https://doi.org/10.1111/jen.12351,,,,Large larch bark beetle
Leptinotarsa decemlineata,10,300,obligate,12,NA,https://doi.org/10.1093/ee/28.3.425,https://doi.org/10.1016/0167-8809(88)90086-2,,,Colorado potato beetle
"Oulema melanopus, model 1",10,491.7,obligate,12,NA,https://doi.org/10.2307/3527,https://doi.org/doi:10.25335/s5k5-c192,,,Cereal leaf beetle
"Oulema melanopus, model 2",9,553,obligate,12,NA,https://doi.org/10.4039/Ent110257-3 ,https://doi.org/doi:10.25335/s5k5-c192,,,Cereal leaf beetle
Halyomorpha halys,12.9,625,facultative,15,20,https://doi.org/10.2108/zsj.20.963,https://doi.org/10.1603/IPM14002,https://doi.org/10.1093/ee/37.2.348,,Brown marmorated stink bug
Ips typographus,8.3,557,facultative,14.5,14.5,https://doi.org/10.1016/j.ecolmodel.2019.108775,https://doi.org/10.1111/j.1439-0418.1998.tb01482.x,,,European spruce bark beetle
Thaumetopoea processionea (egg),6.6,81,obligate,,NA,,,,Egg hatching,Oak processionary moth
Thaumetopoea processionea (2nd larvae),9.87,68.12,obligate,,NA,https://doi.org/10.1016/j.foreco.2023.121525,,,Hatching to L2,Oak processionary moth
Thaumetopoea processionea (3rd larvae),9.42,129.48,obligate,,NA,https://doi.org/10.1016/j.foreco.2023.121525,,,Hatching to L3,Oak processionary moth
Thaumetopoea processionea (4th larvae),9.96,177.93,obligate,,NA,https://doi.org/10.1016/j.foreco.2023.121525,,,Hatching to L4,Oak processionary moth
Thaumetopoea processionea (5th larvae),10.11,246.57,obligate,,NA,https://doi.org/10.1016/j.foreco.2023.121525,,,Hatching to L5,Oak processionary moth
Thaumetopoea processionea (6th larvae),10.17,341.79,obligate,,NA,https://doi.org/10.1016/j.foreco.2023.121525,,,Hatching to L6,Oak processionary moth
Thaumetopoea processionea (pupae),9.8,581,obligate,,NA,https://doi.org/10.1016/j.foreco.2023.121525,,,Hatching to Pupation,Oak processionary moth
Thaumetopoea processionea (adult),9.11,1088.55,,,,https://doi.org/10.1016/j.foreco.2023.121525,,,Hatching to adult emergence,Oak processionary moth
Thaumetopoea processionea (UK model),6.5,1200,,NA,NA,,,,Adult emergence,Oak processionary moth
